id,titulo,tipo,pilar,estado,nivel_certeza,url,accion
SRC-0001,DRIVE CANONICAL INDEX 20260509,inventario,sistema,ACTIVO,N4,https://drive.google.com/file/d/1jNSwtvMcqyQETDMgSs9fzGlkjcVfHkSf,mantener como indice estructural Drive
SRC-0002,DRIVE CANONICAL ANOMALIES 20260509,auditoria,sistema,ACTIVO,N4,https://drive.google.com/file/d/1Hjl-GgZVDi3dc9ep4a2nbbaUCT1kI5J-,revisar anomalias antes de sincronizar
SRC-0003,DRIVE CANONICAL SUMMARY 20260509,sintesis,sistema,ACTIVO,N4,https://drive.google.com/file/d/1BuyqG3ngAG2pzZ-DQsKzWPaAM726R9ne,usar como resumen de estado Drive
SRC-0004,DRIVE ROOT TAGGING MANIFEST 20260520 1851,manifest,sistema,ACTIVO,N4,https://drive.google.com/file/d/11gNUsQZ8cpK7WlPxKflGHG5ujZX19j2t,usar como base de etiquetado read only
SRC-0005,SUN-0005 01 CANON,canon,sistema,ACTIVO,N4,https://drive.google.com/file/d/1nL8HJWxzOhkyAA-k-AlRXzCGm5T09pqX,comparar contra state deckard 01_CANON
SRC-0006,SUN-0004 Drive Sync Index 2026-05-01,indice,sistema,ACTIVO,N4,https://drive.google.com/file/d/1Y39d4IhyaR6-DaGoXEzB0TaAp3HncX3n,usar para trazabilidad Drive Sunny Core
SRC-0007,SUN-0004 NotebookLM Drive Ingesta 2026-05-01,protocolo,sistema,ACTIVO,N4,https://drive.google.com/file/d/1854ZwyVw1LUsUvqqnWHTxWCXpMN8CAz4,usar como referencia de ingestion NotebookLM
SRC-0008,SUN-0004 Addendum Integracion Herramientas PDF 2026-05-01,addendum,sistema,ACTIVO,N4,https://drive.google.com/file/d/1oddpAJ6M_g4PJ8gfLL3VNZ5W2fsxVXb3,usar como anexo de integracion
SRC-0009,Sunny Core Architecture SUN-0002 2026-05-01,arquitectura,sistema,ACTIVO,N4,https://drive.google.com/file/d/19VC0NDhIDDpc2a17SNt8dmvcOaNVOvwB,confirmar decisiones locked in
SRC-0010,Sunny Core Spec SUN-0002 2026-05-01,spec,sistema,ACTIVO,N4,https://drive.google.com/file/d/1wciOiNJ8DpH5FZg6I4xm1-8NbVx0iFH2,consolidar con arquitectura Sunny Core
SRC-0011,Sunny Core Client Guide SUN-0003 2026-05-01,guia,sistema,ACTIVO,N4,https://drive.google.com/file/d/1JtWGUYPfQJjvMOx-niz1mIgMawfyJ0Zc,usar como guia cliente del Core
SRC-0012,Sunny Core GAS Adapter Decision 2026-04-30,decision,sistema,ACTIVO,N4,https://drive.google.com/file/d/1Pd5dazr3Af2a6Y3mBaWHGwifVJQBC8VB,extraer contrato GAS adapter
SRC-0013,diagnostico mcp final,diagnostico,sistema,ACTIVO,N4,https://drive.google.com/file/d/13vXo-yDm_Vu9jU19fXPAOd9zpae7_i_S,usar para frontera MCP y conectores
SRC-0014,brief codex antigravity una pagina,brief,sistema,ACTIVO,N4,https://drive.google.com/file/d/1ki6oZBfJJqHfxpmQVeFbSiunZjkZtr9V,usar como handoff tecnico Codex
SRC-0015,PUNTO PRESENTE v5 2 20260509,estado,sistema,ACTIVO,N4,https://drive.google.com/file/d/1uWsajazJaf1anzcMoi43E47elgY251Xa,usar como foto operativa de sistema
SRC-0016,Digestion Cuaderno Bitacora NotebookLM,digestion,sistema,ACTIVO,N4,https://drive.google.com/file/d/1t5vpraTQ-a4yPiQY9ZlRgdz172gGetps,usar para lote NotebookLM bitacora
SRC-0017,NEXUS CORE SPEC v0 3,spec,nexus,ACTIVO,N4,https://drive.google.com/file/d/1KM_ffampO8xVPyvcIRtIjBIXXEokyIxg,comparar con version v0 4
SRC-0018,NEXUS CORE SPEC v0 4,spec,nexus,ACTIVO,N4,https://drive.google.com/file/d/1DdIkzbbdDZkb1uOUYUXdDUjTqwnN2YD5,priorizar sobre v0 3 si confirma diferencias
SRC-0019,OBSIDIAN BATCH 0002 MANIFEST 20260520,manifest,nexus,ACTIVO,N4,https://drive.google.com/file/d/1VShcZggbwa8rF00ruFs7KfLo20veFBdt,usar como manifest Obsidian batch 0002
SRC-0020,OBSIDIAN BATCH 0003 METATRON PENTACORO MANIFEST 20260520,manifest,nexus,ACTIVO,N4,https://drive.google.com/file/d/16jvQr4vy0THlPgFQU-VgWS-9ovSK47gO,usar como manifest Obsidian batch 0003
SRC-0021,OBSIDIAN BATCH 0003 METATRON PENTACORO SELLADO 20260520,sellado,nexus,ACTIVO,N4,https://drive.google.com/file/d/1IZVC-yH6IZKwB2VLQcCfiAeS1MFYM0yE,usar para verificar cierre batch 0003
SRC-0022,OBSIDIAN BATCH 0004 METATRON TESSERACT STAGING 20260521,staging,nexus,ACTIVO,N4,https://drive.google.com/file/d/1gedptcli9AaoHw6UCnLhXKtmDwLm-4QL,usar como staging batch 0004
SRC-0023,OBSIDIAN MIGRATION PROTOCOL v0 1,protocolo,nexus,ACTIVO,N4,https://drive.google.com/file/d/17KtPqn_98hfIQcBSyGTIYQwGTqMkbegH,extraer reglas de migracion Obsidian
SRC-0024,OBSIDIAN PILOT 0001 MANIFEST DRY RUN,manifest,nexus,ACTIVO,N4,https://drive.google.com/file/d/1UPvmy6J2ZQ1a8Z6gRZrhjymnNL9IUzWf,usar como referencia dry run Obsidian
SRC-0025,STRESS TEST GEOMETRICO PENTACORO 20260520,test,nexus,ACTIVO,N4,https://drive.google.com/file/d/1ddOLeSUEjDjHzXviPQUcHZRlOYXfYqwc,usar para validacion geometrica Pentacoro
